"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U4","SOIC127P600X172-8L","350mil","220mil","350mil","220mil","442.52mil","295mil","B","180.00","TH8056KDC-AAA-008-RE"
"U2","SOT23","75mil","175mil","75mil","175mil","35.63mil","137.598mil","B","360.00","MCP1700T-3302E/TT"
"R19","R1210","480mil","1270mil","480mil","1270mil","480mil","1212.913mil","B","90.00","120"
"R18","R0603","185mil","215mil","185mil","215mil","185mil","181.536mil","B","90.00","6.49K"
"R17","R0603","550mil","320mil","550mil","320mil","516.535mil","320mil","B","360.00","1K"
"R16","R0603","635mil","660mil","635mil","660mil","635mil","693.465mil","B","270.00","1K"
"R15","R0603","550mil","245mil","550mil","245mil","516.535mil","245mil","B","360.00","10K"
"R14","R0603","550mil","170mil","550mil","170mil","516.535mil","170mil","B","360.00","10K"
"R11","R0603","310.001mil","1290mil","310.001mil","1290mil","310.001mil","1256.536mil","B","90.00","10K"
"R10","R0603","250.001mil","1290mil","250.001mil","1290mil","250.001mil","1256.536mil","B","90.00","10K"
"R9","R0603","189.418mil","1290mil","189.418mil","1290mil","189.418mil","1256.536mil","B","90.00","10K"
"R8","R0603","575mil","1215mil","575mil","1215mil","575mil","1181.535mil","B","90.00","1K"
"R7","R0603","575mil","1365mil","575mil","1365mil","575mil","1331.535mil","B","90.00","1K"
"R6","R0603","45mil","535mil","45mil","535mil","45mil","501.536mil","B","90.00","10"
"R4","R0603","125mil","1005mil","125mil","1005mil","125mil","1038.465mil","B","270.00","10K"
"R3","R0603","625mil","1000mil","625mil","1000mil","625mil","1033.465mil","B","270.00","1K"
"R1","R0603","610mil","375mil","610mil","375mil","576.535mil","375mil","B","360.00","1K"
"Q1","SOT23","360mil","1155mil","360mil","1155mil","320.63mil","1117.598mil","B","360.00","2N7002K-7"
"D3","KINGBRIGHT_APA1606SECK","632mil","1244.079mil","632mil","1244.079mil","632mil","1275.575mil","B","270.00","APA1606SECK"
"D2","KINGBRIGHT_APA1606SECK","632mil","1364.079mil","632mil","1364.079mil","632mil","1395.575mil","B","270.00","APA1606SECK"
"C13","CC0603","370.001mil","1290mil","370.001mil","1290mil","370.001mil","1256.536mil","B","90.00","150pF"
"C12","CC0603","125mil","310mil","125mil","310mil","125mil","276.536mil","B","90.00","0.1uF"
"C11","CC0603","285mil","1015mil","285mil","1015mil","285mil","981.535mil","B","90.00","22pF"
"C10","CC0603","530mil","1015mil","530mil","1015mil","530mil","1048.465mil","B","270.00","22pF"
"C9","CC0603","45mil","660mil","45mil","660mil","45mil","693.465mil","B","270.00","0.1uF"
"C8","CC0603","505mil","1125mil","505mil","1125mil","471.536mil","1125mil","B","360.00","0.1uF"
"C7","CC0603","635mil","540mil","635mil","540mil","635mil","506.536mil","B","90.00","0.1uF"
"C5","CC0603","45mil","785mil","45mil","785mil","45mil","818.465mil","B","270.00","0.1uF"
"C4","CC0805","345mil","370mil","345mil","370mil","309.567mil","370mil","B","360.00","10uF"
"C3","CC0603","80mil","75mil","80mil","75mil","113.465mil","75mil","B","180.00","0.1uF"
"C2","CC0603","65mil","310mil","65mil","310mil","65mil","343.464mil","B","270.00","1uF"
"C1","CC0603","75mil","400mil","75mil","400mil","41.535mil","400mil","B","360.00","0.1uF"
"D1","KINGBRIGHT_APA1606SECK","632mil","1127mil","632mil","1127mil","632mil","1158.496mil","B","270.00","APA1606SECK"
"X1","Epson_TSX-3225_16.0000MF18X-AC3","405mil","1015mil","405mil","1015mil","448.307mil","983.504mil","B","180.00","TSX-3225 16.0000MF18X-AC3"

